"","Stage1","Stage3","Stage5","Stage7","cluster"
"FakeGeneID005026",-0.954726693006231,-0.806176401797506,1.05498092075217,0.705922174051571,7
"FakeGeneID007058",-0.49838341015058,-0.855021196156093,0.187034514650603,1.16637009165607,3
"FakeGeneID006374",-0.824367572665717,-1.02142209400369,0.984927394275026,0.860862272394377,7
"FakeGeneID020585",-0.546562849584257,-1.08443666002561,1.13501542453764,0.495984085072223,4
"FakeGeneID026897",-0.666379428771289,-1.08885794744794,0.862619204509341,0.892618171709883,3
"FakeGeneID017241",0.849641572643354,0.912237715788394,-0.973960751167268,-0.78791853726448,8
"FakeGeneID009845",-1.18418400793583,-0.299125638801412,0.604406307600147,0.878903339137095,9
"FakeGeneID010118",-0.317665727145463,-0.926955700668199,1.3399220835076,-0.0953006556939383,4
"FakeGeneID020217",0.904251249100479,0.413141088481584,-1.27027821983068,-0.0471141177513779,5
"FakeGeneID006514",0.748684656157839,1.08262661068755,-0.915783440284948,-0.91552782656044,8
"FakeGeneID001244",0.946331827505692,0.866666423259962,-1.07427550143435,-0.738722749331306,8
"FakeGeneID029921",0.481517586974238,1.12266389256616,-0.702300720386185,-0.901880759154216,1
"FakeGeneID014346",0.855669042760926,0.942221032269123,-1.10371522679629,-0.694174848233763,8
"FakeGeneID016324",-0.783653905821216,-0.900604269873448,1.13383688695934,0.550421288735328,4
"FakeGeneID022142",0.717670234026744,1.10132019084376,-0.888173607599084,-0.930816817271425,8
"FakeGeneID016158",-0.920748268529076,-0.857786422813409,0.88881817335829,0.889716517984194,7
"FakeGeneID013718",0.59957005204447,1.16713090956311,-0.870148438414022,-0.896552523193561,8
"FakeGeneID002517",1.12236166692637,0.461923076266754,-1.32136699909399,-0.262917744099133,5
"FakeGeneID012825",-0.962252978577421,-0.847749728394035,1.07426253482132,0.735740172150135,7
"FakeGeneID035012",-0.745185258219685,-1.01273492650331,0.778115802780111,0.979804381942887,3
"FakeGeneID024813",-0.953411138542947,-0.777408921242399,0.75513467293989,0.975685386845455,7
"FakeGeneID022242",-0.910921707085551,-0.655577857127146,1.0900987102107,0.476400854001996,4
"FakeGeneID013656",-0.877389416389455,-0.936324306924835,0.832608906522063,0.981104816792227,7
"FakeGeneID028113",-0.743478790064251,-0.842991456906999,0.377196213586756,1.20927403338449,3
"FakeGeneID037416",-1.23954138042344,0.0197951520072174,1.10873821358394,0.111008014832285,4
"FakeGeneID006381",1.01716128466613,0.794865258857298,-1.02263962915126,-0.789386914372173,8
"FakeGeneID000221",0.914846491720264,0.890353262932458,-0.711413656538232,-1.09378609811449,1
"FakeGeneID033819",-0.961413894408418,-0.773116997247001,0.852099887432888,0.882431004222531,7
"FakeGeneID031207",-1.03403924128604,-0.792759486817545,0.903468173967363,0.923330554136221,7
"FakeGeneID026661",0.918887441186595,0.841747958585882,-1.0180353701418,-0.742600029630676,8
"FakeGeneID006835",-1.03193652236985,-0.690670020890747,0.855680865826785,0.866925677433817,9
"FakeGeneID014543",-1.00974829753705,-0.64538745685974,0.322548194880152,1.33258755951664,6
"FakeGeneID013462",-0.778265666142921,-0.839493324289955,1.2666571155339,0.351101874898977,4
"FakeGeneID006781",0.882041368618575,0.704954679416145,-1.29817303806955,-0.288823009965166,5
"FakeGeneID008183",-0.915198094752805,-0.905589890046203,0.889544979650552,0.931243005148451,7
"FakeGeneID026446",0.431161324224102,1.19002020481849,-0.984655042521362,-0.636526486521232,8
"FakeGeneID001417",0.948580855926504,0.815455329242952,-1.00591066037087,-0.758125524798583,8
"FakeGeneID001477",-1.07752535870395,-0.671790390169117,0.674650544014554,1.07466520485851,9
"FakeGeneID018314",0.849455892229674,0.929628482682109,-1.20244792953512,-0.576636445376665,8
"FakeGeneID025694",1.04956408105046,0.727311621892701,-0.747887207162092,-1.02898849578107,1
"FakeGeneID007417",-0.894501343207126,-0.862061283977325,0.874042114832252,0.8825205123522,7
"FakeGeneID010112",0.849364599505489,1.00159855741716,-0.83823403190848,-1.01272912501417,1
"FakeGeneID023124",0.64979398180713,0.898381758825896,-1.36474086789714,-0.183434872735886,5
"FakeGeneID032766",-1.00070125463976,-0.684919229776737,0.692122554253682,0.993497930162815,9
"FakeGeneID030493",-0.900749536957478,-0.707479642412735,0.689654162437786,0.91857501693243,9
"FakeGeneID001397",0.927482976656463,0.899511604685103,-1.01267804933887,-0.814316532002691,8
"FakeGeneID005467",0.85195084526487,0.849628726423969,-0.554202188829926,-1.14737738285891,1
"FakeGeneID034853",0.876890078268287,0.935297572047996,-0.766245972633698,-1.04594167768258,1
"FakeGeneID022991",0.908588377029664,0.804141617173497,-1.16088569891852,-0.551844295284641,8
"FakeGeneID007086",-0.765722288053337,-0.978692507568736,0.957114734000099,0.787300061621975,7
"FakeGeneID003980",-0.529123417856094,-0.732945195270767,1.32387676544459,-0.061808152317728,4
"FakeGeneID023879",-0.501321887927057,-1.0205340348199,0.808820832098918,0.713035090648039,3
"FakeGeneID014551",-1.0654796912093,-0.714777113615976,0.94411963904091,0.836137165784363,7
"FakeGeneID008416",-0.841231147641667,-0.919795259676047,1.01172701671511,0.749299390602609,7
